;aspiration;body-style;bore;city-mpg;compression-ratio;curb-weight;drive-wheels;engine-location;engine-size;engine-type;fuel-system;fuel-type;height;highway-mpg;horsepower;length;make;normalized-losses;num-of-cylinders;num-of-doors;peak-rpm;price;stroke;weight;wheel-base;width
0;std;convertible;3.47;21;9.00;2548;rwd;front;130;dohc;mpfi;gas;48.80;27;111,03;168.80;alfa-romero;-;four;two;5000;1349500;2.68;3;88.60;64.10
1;std;convertible;3.47;21;9.00;2548;rwd;front;130;dohc;mpfi;gas;48.80;27;111,73;168.80;alfa-romero;-;-;two;5000;1650000;2.68;3;88.60;64.10
2;-;hatchback;2.68;19;9.00;2823;rwd;front;152;ohcv;mpfi;gas;52.40;26;154,62;171.20;alfa-romero;-;six;two;5000;- ;3.47;1;94.50;65.50
3;std;sedan;3.19;24;10.00;2337;fwd;front;109;ohc;mpfi;gas;54.30;30;102,30;176.60;audi;164;four;four;5500;1395000;3.40;2;99.80;66.20
4;std;sedan;3.19;18;8.00;2824;4wd;front;136;ohc;mpfi;gas;54.30;22;115,50;176.60;audi;164;five;four;5500;1745000;3.40;2;99.40;66.40
5;std;sedan;3.19;19;8.50;2507;fwd;front;136;ohc;mpfi;gas;53.10;25;110,81;177.30;audi;-;-;two;5500;1525000;3.40;2;99.80;66.30
6;std;sedan;3.19;19;8.50;2844;fwd;front;136;ohc;mpfi;gas;55.70;25;110,79;192.70;audi;158;five;four;5500;1771000;3.40;1;105.80;71.40
7;std;wagon;3.19;19;8.50;2954;fwd;front;136;ohc;mpfi;gas;55.70;25;110,33;192.70;audi;-;five;four;5500;1892000;3.40;1;105.80;71.40
8;turbo;sedan;3.13;17;8.30;3086;fwd;front;131;ohc;mpfi;gas;55.90;20; -;192.70;audi;158;five;four;5500;2387500;3.40;1;105.80;71.40
9;turbo;hatchback;3.13;16;7.00;3053;4wd;front;131;ohc;mpfi;gas;52.00;22;160,95;178.20;audi;-;five;two;5500;-;3.40;-;99.50;67.90
10;std;sedan;3.50;23;8.80;2395;rwd;front;108;ohc;mpfi;gas;54.30;29;101,26;176.80;bmw;192;four;two;5800;1643000;2.80;2;101.20;64.80
11;std;sedan;3.50;23;8.80;2395;rwd;front;108;ohc;mpfi;gas;54.30;29;101,44;176.80;bmw;192;four;four;5800;1692500;2.80;0;101.20;64.80
12;std;sedan;3.31;21;9.00;2710;rwd;front;164;ohc;mpfi;gas;54.30;28;121,20;176.80;-;188;six;two;4250;2097000;3.19;0;101.20;64.80
13;std;sedan;3.31;21;9.00;2765;rwd;front;164;ohc;mpfi;gas;54.30;28;121,38;176.80;bmw;188;six;four;4250;2110500;3.19;0;101.20;64.80
14;std;sedan;3.31;20;9.00;3055;rwd;front;164;ohc;mpfi;gas;55.70;25;121,76;189.00;bmw;-;- ;four;4250;2456500;3.19;1;103.50;66.90
15;std;sedan;3.62;16;8.00;3230;rwd;front;209;ohc;mpfi;gas;55.70;22;182,76;189.00;bmw;-;six;four;5400;3076000;3.39;0;103.50;66.90
16;std;sedan;3.62;16;8.00;3380;rwd;-;209;ohc;mpfi;gas;53.70;22;182,35;193.80;bmw;-;six;two;5400;4131500;3.39; -;103.50;67.90
17;std;sedan;3.62;15;8.00;3505;rwd;front;209;ohc;mpfi;gas;56.30;20;182,42;197.00;bmw;-;six;four;5400;3688000;3.39;0;110.00;70.90
18;std;hatchback;2.91;47;9.50;1488;fwd;front;61;l;2bbl;gas;53.20;53;48,07;141.10;chevrolet;121;three;two;5100;515100;3.03;2;88.40;60.30
19;std;hatchback;3.03;38;9.60;1874;fwd;front;90;ohc;2bbl;gas;52.00;43;-;155.90;chevrolet;98;four;two;5400;629500;3.11;1;94.50;63.60
20;std;sedan;3.03;38;9.60;1909;fwd;front;90;ohc;2bbl;gas;52.00;43;70,80;158.80;chevrolet;81;four;four;5400; -;3.11;0;94.50;63.60
21;std;hatchback;2.97;37;9.41;1876;fwd;front;90;ohc;2bbl;gas;50.80;41;68,56;157.30;dodge;118;four;two;5500;557200;3.23;-;93.70;63.80
22;std;hatchback;2.97;31;9.40;1876;fwd;front;90;ohc;2bbl;gas;50.80;38;68,50;157.30;dodge;118;four;two;5500;637700;3.23;1;93.70;63.80
23;turbo;hatchback;3.03;24;7.60;2128;fwd;front;98;ohc;mpfi;gas;50.80;30;102,29;157.30;dodge;118;four;two;5500;795700;3.39;1;93.70;63.80
24;std;hatchback;2.97;31;9.40;1967;fwd; -;-;ohc;2bbl;gas;50.60;38;68,38;157.30;-;148;four;four;5500;622900;3.23;1;93.70;63.80
25;std;sedan;2.97;31;9.40;1989;fwd;front;90;ohc;2bbl;gas;50.60;38;68,37;157.30;dodge;148;four;four;5500;669200;3.23;1;93.70;63.80
26;std;sedan;2.97;31;9.40;1989;fwd;front;90;ohc;2bbl;gas;50.60;38;68,82;157.30;dodge;148;four;four;5500;- ;3.23;1;93.70;63.80
27;turbo;sedan;3.03;24;7.60;2191;fwd;front;98;ohc;mpfi;gas;50.60;30;-;157.30;dodge;148;four;-;5500;855800;3.39;1;93.70;63.80
28;std;wagon;3.34;24;8.50;2535;fwd;front;122;ohc;2bbl;gas;59.80;30;88,87;174.60;dodge;110;- ;four;5000;892100;3.46;-1;103.30;64.60
29; -;hatchback;3.60;19;7.00;2811;fwd;front;156;ohc;mfi;gas;50.20;24;145,69;173.20;dodge;145;four;two;5000;1296400;3.90;3;95.90;66.30
30;std;hatchback;2.91;49;9.60;1713;fwd;front;- ;ohc;1bbl;gas;50.80;54;58,63;144.60;honda;137;four;two;4800;647900;3.41;2;86.60;63.90
31;std;hatchback;2.91;31;9.20;1819;fwd;front;92;ohc;1bbl;gas;50.80;38;76,07;144.60;honda;137;-;two;6000;685500;3.41;2;86.60;63.90
32;std;hatchback;2.91;38;10.10;1837;fwd;front; -;ohc;1bbl;gas;52.60;42;60,10;150.00;honda;101;four;two;5500;539900;3.07;1;93.70;64.00
33;std;hatchback;2.91;30;9.20;1940;fwd;front;- ;ohc;1bbl;gas;52.60;34;76,21;150.00;honda;101;four;two;6000;652900;3.41;1;93.70;64.00
34;std;hatchback;2.91;30;9.20;1956;fwd;front; -;ohc;1bbl;gas;52.60;34;76,83;150.00;honda;101;four;two;6000;712900;3.41;1;93.70;64.00
35;std;sedan;2.91;30;9.20;2010;fwd;front;92;ohc;1bbl;gas;54.50;34;76,26;163.40;honda;110;four;four;6000;-;3.41;0;96.50;64.00
36;std;wagon;2.92;30;9.20;2024;fwd;front; -;ohc;1bbl;gas;58.30;34;76,88;157.10;honda;78;four;four;6000;729500;3.41;0;96.50;63.90
37;std;hatchback;3.15;27;9.00;2236;fwd;front;110;ohc;1bbl;gas;53.30;33;-;167.50;honda;106;four;two;5800;789500;3.58;0;96.50;65.20
38;std;hatchback;3.15;27;9.00;2289;fwd;front;110;ohc;1bbl;gas;53.30;33;86,48;167.50;honda;106;four;two;5800;909500;3.58;0;96.50;65.20
39;std;sedan;3.15;27;9.00;2304;fwd;front;110;ohc;1bbl;gas;54.10;33;86,78;175.40;honda;85;four;four;5800;884500;3.58;-;96.50;65.20
40;std;sedan;3.15;27;9.00;2372;fwd;front;-;ohc;1bbl;gas;54.10;33;86,34;175.40;- ;85;four;four;5800;1029500;3.58;0;96.50;62.50
41;std;sedan;3.15;24;9.00;2465;fwd;front;110;ohc;mpfi;gas;54.10;28;101,74;175.40;-;85;four;four;5800;1294500;3.58;0;96.50;65.20
42;std;sedan;3.15;25;9.10;2293;fwd;front;- ;ohc;2bbl;gas;51.00;31;100,55;169.10;honda;107;four;two;5500;1034500;3.58;1;96.50;66.00
43;std;sedan;3.31;24;8.50;2337;rwd;front;111;ohc;2bbl;gas;53.50;29;78,35;170.70;isuzu;-;four;four;4800;678500;3.23;-;94.30;61.80
44;std;sedan;3.03;38;9.60;1874;fwd;front;90;ohc;2bbl;gas;52.00;43;70,30;155.90;isuzu;-;four;two;5400;-;3.11;- ;94.50;63.60
45;std;sedan;3.03;38;9.60;1909;fwd;front;90;ohc;2bbl;gas;52.00;43;70,51;155.90;isuzu;-;four;four;5400;-;3.11;0;94.50;63.60
46;std;hatchback;3.43;24;9.20;2734;rwd;front; -;ohc;spfi;gas;51.40;29;90,44;172.60;-;-;four;two;5000;1104800;3.23;2;96.00;65.20
47;std;sedan;3.63;15;8.10;4066;rwd;front;258;dohc;mpfi;gas;52.80;19;176,72;199.60;-;145;six;four;4750;3225000;4.17; -;113.00;69.60
48;std;sedan;3.63;15;8.10;4066;rwd;front;258;dohc;mpfi;gas;52.80;19;176,93;199.60;jaguar;-;six;four;4750;3555000;4.17;0;113.00;69.60
49;-;sedan;3.54;13;11.50;3950;rwd;front;326;ohcv;mpfi;gas;47.80;17;262,26;191.70;jaguar;-;twelve;two;5000;3600000;2.76;- ;102.00;70.60
50;std;hatchback;3.03;30;9.00;1890;fwd;front;91;ohc;2bbl;gas;54.10;31;68,50;159.10;mazda;104;four;two;5000;519500;3.15;- ;93.10;64.20
51;std;hatchback;3.03;31;9.00;1900;fwd;front;91;ohc;2bbl;gas;54.10;38;68,17;159.10;mazda;104;four;two;5000; -;3.15;1;93.10;64.20
52;std;hatchback;3.03;31;9.00;1905;fwd;front;91;ohc;2bbl;gas;54.10;38;68,65;159.10;mazda;104;four;two;5000;679500;3.15;1;93.10;64.20
53;std;sedan;3.03;31;9.00;1945;fwd;front;91;ohc;2bbl;gas;54.10;38;68,22;166.80;mazda;113;four;four;5000;669500;3.15;1;93.10;64.20
